State,Abbreviation,Region,lat,long
Alabama,AL,South,32.62708,-86.68851
Alaska,AK,Pacific,64.0685,-152.2782
Arizona,AZ,Mountain,34.17407,-111.92444
Arkansas,AR,South,34.75275,-92.13734
California,CA,Pacific,37.2795,-119.2583
Colorado,CO,Mountain,39.00124,-105.55315
Connecticut,CT,NorthEast,41.53085,-72.75132
Delaware,DE,South,39.15307,-75.42703
District of Columbia,DC,South,38.9101,-77.0147
Florida,FL,South,28.0692,-81.5
Georgia,GA,South,32.67579,-83.22785
Hawaii,HI,Pacific,20.2927,-156.3737
Idaho,ID,Mountain,43.25,-114.14178
Illinois,IL,MidWest,39.75468,-89.49887
Indiana,IN,MidWest,39.78333,-86.45074
Iowa,IA,MidWest,41.94337,-93.37207
Kansas,KS,MidWest,38.50849,-98.32242
Kentucky,KY,South,37.81522,-85.68584
Louisiana,LA,South,31.00848,-92.65
Maine,ME,NorthEast,45.26653,-69.04142
Maryland,MD,South,38.82649,-77.27768
Massachusetts,MA,NorthEast,42.05797,-71.72572
Michigan,MI,MidWest,43.2,-84.65
Minnesota,MN,MidWest,46.43823,-93.34915
Mississippi,MS,South,32.58984,-89.87129
Missouri,MO,MidWest,38.30796,-92.42382
Montana,MT,Mountain,46.68747,-110.04514
Nebraska,NE,MidWest,41.5022,-99.69752
Nevada,NV,Mountain,38.51422,-117.0209
New Hampshire,NH,NorthEast,44.00602,-71.64264
New Jersey,NJ,NorthEast,40.14715,-74.72516
New Mexico,NM,Mountain,34.17407,-106.02871
New York,NY,NorthEast,42.74838,-75.82237
North Carolina,NC,South,35.22831,-79.93048
North Dakota,ND,MidWest,47.46955,-100.2934
Ohio,OH,MidWest,40.19872,-82.66635
Oklahoma,OK,South,35.3429,-97.5
Oregon,OR,Pacific,44.11489,-120.49876
Pennsylvania,PA,NorthEast,40.99227,-77.63005
Rhode Island,RI,NorthEast,41.66549,-71.48508
South Carolina,SC,South,33.62403,-80.9618
South Dakota,SD,MidWest,44.20656,-100.24756
Tennessee,TN,South,35.82705,-85.96659
Texas,TX,South,31.21474,-100.09286
Utah,UT,Mountain,39.49971,-111.54342
Vermont,VT,NorthEast,43.87711,-72.47916
Virginia,VA,South,37.99856,-79.43201
Washington,WA,Pacific,47.26902,-120.80242
West Virginia,WV,South,38.92389,-80.16825
Wisconsin,WI,MidWest,44.71649,-89.94005
Wyoming,WY,Mountain,42.99762,-107.5585